key,clean_path,noisy_path,script_path,train_val_test
06_02_020802_211006,/home/a/data/원본/02.지하철안/06_02_020802_211006_SD.wav,/home/a/data/원본/02.지하철안/06_02_020802_211006_SN.wav,/home/a/data/라벨링/02.지하철안/06_02_020802_211006_SD.json,TR
06_01_008058_210911,/home/a/data/원본/02.지하철안/06_01_008058_210911_SD.wav,/home/a/data/원본/02.지하철안/06_01_008058_210911_SN.wav,/home/a/data/라벨링/02.지하철안/06_01_008058_210911_SD.json,TR
06_06_016340_211007,/home/a/data/원본/02.지하철안/06_06_016340_211007_SD.wav,/home/a/data/원본/02.지하철안/06_06_016340_211007_SN.wav,/home/a/data/라벨링/02.지하철안/06_06_016340_211007_SD.json,TR
06_07_014627_211005,/home/a/data/원본/02.지하철안/06_07_014627_211005_SD.wav,/home/a/data/원본/02.지하철안/06_07_014627_211005_SN.wav,/home/a/data/라벨링/02.지하철안/06_07_014627_211005_SD.json,TR
06_06_001796_210804,/home/a/data/원본/02.지하철안/06_06_001796_210804_SD.wav,/home/a/data/원본/02.지하철안/06_06_001796_210804_SN.wav,/home/a/data/라벨링/02.지하철안/06_06_001796_210804_SD.json,TR
06_01_030378_210922,/home/a/data/원본/02.지하철안/06_01_030378_210922_SD.wav,/home/a/data/원본/02.지하철안/06_01_030378_210922_SN.wav,/home/a/data/라벨링/02.지하철안/06_01_030378_210922_SD.json,TR
06_01_013635_210917,/home/a/data/원본/02.지하철안/06_01_013635_210917_SD.wav,/home/a/data/원본/02.지하철안/06_01_013635_210917_SN.wav,/home/a/data/라벨링/02.지하철안/06_01_013635_210917_SD.json,TR
06_06_013950_210927,/home/a/data/원본/02.지하철안/06_06_013950_210927_SD.wav,/home/a/data/원본/02.지하철안/06_06_013950_210927_SN.wav,/home/a/data/라벨링/02.지하철안/06_06_013950_210927_SD.json,TR
06_01_022932_211011,/home/a/data/원본/02.지하철안/06_01_022932_211011_SD.wav,/home/a/data/원본/02.지하철안/06_01_022932_211011_SN.wav,/home/a/data/라벨링/02.지하철안/06_01_022932_211011_SD.json,TR
06_02_013946_210929,/home/a/data/원본/02.지하철안/06_02_013946_210929_SD.wav,/home/a/data/원본/02.지하철안/06_02_013946_210929_SN.wav,/home/a/data/라벨링/02.지하철안/06_02_013946_210929_SD.json,TR
06_05_008403_210918,/home/a/data/원본/02.지하철안/06_05_008403_210918_SD.wav,/home/a/data/원본/02.지하철안/06_05_008403_210918_SN.wav,/home/a/data/라벨링/02.지하철안/06_05_008403_210918_SD.json,TR
06_06_012810_210923,/home/a/data/원본/02.지하철안/06_06_012810_210923_SD.wav,/home/a/data/원본/02.지하철안/06_06_012810_210923_SN.wav,/home/a/data/라벨링/02.지하철안/06_06_012810_210923_SD.json,TR
06_02_096446_211028,/home/a/data/원본/02.지하철안/06_02_096446_211028_SD.wav,/home/a/data/원본/02.지하철안/06_02_096446_211028_SN.wav,/home/a/data/라벨링/02.지하철안/06_02_096446_211028_SD.json,TR
06_01_015064_210930,/home/a/data/원본/02.지하철안/06_01_015064_210930_SD.wav,/home/a/data/원본/02.지하철안/06_01_015064_210930_SN.wav,/home/a/data/라벨링/02.지하철안/06_01_015064_210930_SD.json,TE
06_02_021815_211010,/home/a/data/원본/02.지하철안/06_02_021815_211010_SD.wav,/home/a/data/원본/02.지하철안/06_02_021815_211010_SN.wav,/home/a/data/라벨링/02.지하철안/06_02_021815_211010_SD.json,TR
06_02_096497_211027,/home/a/data/원본/02.지하철안/06_02_096497_211027_SD.wav,/home/a/data/원본/02.지하철안/06_02_096497_211027_SN.wav,/home/a/data/라벨링/02.지하철안/06_02_096497_211027_SD.json,TR
06_01_012694_211008,/home/a/data/원본/02.지하철안/06_01_012694_211008_SD.wav,/home/a/data/원본/02.지하철안/06_01_012694_211008_SN.wav,/home/a/data/라벨링/02.지하철안/06_01_012694_211008_SD.json,TR
06_01_008387_210918,/home/a/data/원본/02.지하철안/06_01_008387_210918_SD.wav,/home/a/data/원본/02.지하철안/06_01_008387_210918_SN.wav,/home/a/data/라벨링/02.지하철안/06_01_008387_210918_SD.json,VA
06_06_022081_211010,/home/a/data/원본/02.지하철안/06_06_022081_211010_SD.wav,/home/a/data/원본/02.지하철안/06_06_022081_211010_SN.wav,/home/a/data/라벨링/02.지하철안/06_06_022081_211010_SD.json,TR
06_01_014464_210928,/home/a/data/원본/02.지하철안/06_01_014464_210928_SD.wav,/home/a/data/원본/02.지하철안/06_01_014464_210928_SN.wav,/home/a/data/라벨링/02.지하철안/06_01_014464_210928_SD.json,TR
06_01_019178_211025,/home/a/data/원본/02.지하철안/06_01_019178_211025_SD.wav,/home/a/data/원본/02.지하철안/06_01_019178_211025_SN.wav,/home/a/data/라벨링/02.지하철안/06_01_019178_211025_SD.json,TR
06_02_016556_211014,/home/a/data/원본/02.지하철안/06_02_016556_211014_SD.wav,/home/a/data/원본/02.지하철안/06_02_016556_211014_SN.wav,/home/a/data/라벨링/02.지하철안/06_02_016556_211014_SD.json,TR
06_01_013553_210917,/home/a/data/원본/02.지하철안/06_01_013553_210917_SD.wav,/home/a/data/원본/02.지하철안/06_01_013553_210917_SN.wav,/home/a/data/라벨링/02.지하철안/06_01_013553_210917_SD.json,TR
06_02_096757_211022,/home/a/data/원본/02.지하철안/06_02_096757_211022_SD.wav,/home/a/data/원본/02.지하철안/06_02_096757_211022_SN.wav,/home/a/data/라벨링/02.지하철안/06_02_096757_211022_SD.json,TR
06_01_020294_211006,/home/a/data/원본/02.지하철안/06_01_020294_211006_SD.wav,/home/a/data/원본/02.지하철안/06_01_020294_211006_SN.wav,/home/a/data/라벨링/02.지하철안/06_01_020294_211006_SD.json,TR
06_01_015241_211005,/home/a/data/원본/02.지하철안/06_01_015241_211005_SD.wav,/home/a/data/원본/02.지하철안/06_01_015241_211005_SN.wav,/home/a/data/라벨링/02.지하철안/06_01_015241_211005_SD.json,TR
06_06_020952_211006,/home/a/data/원본/02.지하철안/06_06_020952_211006_SD.wav,/home/a/data/원본/02.지하철안/06_06_020952_211006_SN.wav,/home/a/data/라벨링/02.지하철안/06_06_020952_211006_SD.json,TR
06_02_011577_210901,/home/a/data/원본/02.지하철안/06_02_011577_210901_SD.wav,/home/a/data/원본/02.지하철안/06_02_011577_210901_SN.wav,/home/a/data/라벨링/02.지하철안/06_02_011577_210901_SD.json,TE
06_01_014919_210930,/home/a/data/원본/02.지하철안/06_01_014919_210930_SD.wav,/home/a/data/원본/02.지하철안/06_01_014919_210930_SN.wav,/home/a/data/라벨링/02.지하철안/06_01_014919_210930_SD.json,TR
06_02_012880_211008,/home/a/data/원본/02.지하철안/06_02_012880_211008_SD.wav,/home/a/data/원본/02.지하철안/06_02_012880_211008_SN.wav,/home/a/data/라벨링/02.지하철안/06_02_012880_211008_SD.json,TR
06_02_016188_210930,/home/a/data/원본/02.지하철안/06_02_016188_210930_SD.wav,/home/a/data/원본/02.지하철안/06_02_016188_210930_SN.wav,/home/a/data/라벨링/02.지하철안/06_02_016188_210930_SD.json,TR
06_01_017944_211005,/home/a/data/원본/02.지하철안/06_01_017944_211005_SD.wav,/home/a/data/원본/02.지하철안/06_01_017944_211005_SN.wav,/home/a/data/라벨링/02.지하철안/06_01_017944_211005_SD.json,TR
06_07_008945_210916,/home/a/data/원본/02.지하철안/06_07_008945_210916_SD.wav,/home/a/data/원본/02.지하철안/06_07_008945_210916_SN.wav,/home/a/data/라벨링/02.지하철안/06_07_008945_210916_SD.json,TR
06_01_021746_211010,/home/a/data/원본/02.지하철안/06_01_021746_211010_SD.wav,/home/a/data/원본/02.지하철안/06_01_021746_211010_SN.wav,/home/a/data/라벨링/02.지하철안/06_01_021746_211010_SD.json,TR
06_07_020433_211008,/home/a/data/원본/02.지하철안/06_07_020433_211008_SD.wav,/home/a/data/원본/02.지하철안/06_07_020433_211008_SN.wav,/home/a/data/라벨링/02.지하철안/06_07_020433_211008_SD.json,TR
06_06_012910_210923,/home/a/data/원본/02.지하철안/06_06_012910_210923_SD.wav,/home/a/data/원본/02.지하철안/06_06_012910_210923_SN.wav,/home/a/data/라벨링/02.지하철안/06_06_012910_210923_SD.json,TR
06_01_008396_210918,/home/a/data/원본/02.지하철안/06_01_008396_210918_SD.wav,/home/a/data/원본/02.지하철안/06_01_008396_210918_SN.wav,/home/a/data/라벨링/02.지하철안/06_01_008396_210918_SD.json,TR
06_02_015579_211005,/home/a/data/원본/02.지하철안/06_02_015579_211005_SD.wav,/home/a/data/원본/02.지하철안/06_02_015579_211005_SN.wav,/home/a/data/라벨링/02.지하철안/06_02_015579_211005_SD.json,VA
06_06_022152_211010,/home/a/data/원본/02.지하철안/06_06_022152_211010_SD.wav,/home/a/data/원본/02.지하철안/06_06_022152_211010_SN.wav,/home/a/data/라벨링/02.지하철안/06_06_022152_211010_SD.json,TR
06_02_016229_210930,/home/a/data/원본/02.지하철안/06_02_016229_210930_SD.wav,/home/a/data/원본/02.지하철안/06_02_016229_210930_SN.wav,/home/a/data/라벨링/02.지하철안/06_02_016229_210930_SD.json,TR
